iter	MAPE	RMSE
600	56.39917451	244.694993
601	56.37131019	244.6132119
602	56.34686265	244.5411297
603	56.32181287	244.4509214
604	56.29779896	244.3778661
605	56.27531879	244.3040316
606	56.25502682	244.2297875
607	56.23643321	244.1632416
608	56.21149183	244.0883231
609	56.18698407	244.0104583
610	56.16586098	243.9287848
611	56.13761122	243.8366976
612	56.11890117	243.7740331
613	56.08920599	243.6752397
614	56.06571805	243.5993948
615	56.04384014	243.533985
616	56.026977	243.4766716
617	56.00170237	243.397454
618	55.97330405	243.3100407
619	55.95020958	243.2339214
620	55.9236903	243.1523505
621	55.89867263	243.0840297
622	55.87326952	242.998534
623	55.84979764	242.920303
624	55.8278836	242.8521878
625	55.80735474	242.7811492
626	55.77610172	242.6899225
627	55.75397087	242.6204802
628	55.73614412	242.5564845
629	55.71538239	242.4932009
630	55.68959384	242.4161382
631	55.66946648	242.346541
632	55.6416945	242.2509672
633	55.62092474	242.1878245
634	55.60319837	242.1335884
635	55.58294655	242.0761048
636	55.55474095	241.9926231
637	55.53355764	241.9206014
638	55.50980872	241.855494
639	55.49078149	241.789791
640	55.46790785	241.7182701
641	55.44958725	241.6495779
642	55.42707497	241.5681358
643	55.40090097	241.4842316
644	55.37629284	241.3994978
645	55.35544278	241.3295478
646	55.32805223	241.246711
647	55.3050742	241.1682442
648	55.28633604	241.1038204
649	55.2603628	241.0309872
650	55.24212251	240.9665779
651	55.22103957	240.8946675
652	55.20406803	240.8301961
653	55.18166817	240.7561617
654	55.1561968	240.6890653
655	55.13689253	240.6274691
656	55.11190296	240.5435103
657	55.0935101	240.4853303
658	55.06823146	240.4088125
659	55.04814024	240.3394638
660	55.02858703	240.2739793
661	55.0040873	240.1974712
662	54.98448592	240.1272653
663	54.9627124	240.054838
664	54.94686506	239.9934645
665	54.92441702	239.9157445
666	54.90194087	239.8413934
667	54.87776636	239.7633069
668	54.85240741	239.6951007
669	54.82878296	239.6115873
670	54.80543154	239.5296325
671	54.78059053	239.4519766
672	54.76604005	239.4047716
673	54.74936161	239.3424498
674	54.7201643	239.2589508
675	54.69693733	239.1863122
676	54.67148203	239.0958891
677	54.64491055	239.0028773
678	54.62583914	238.9317095
679	54.59769377	238.8471288
680	54.58217968	238.7925041
681	54.56523223	238.7269225
682	54.54506874	238.6695142
683	54.52309045	238.595645
684	54.50025295	238.5208135
685	54.48171554	238.4603555
686	54.45273102	238.3700969
687	54.42732792	238.2809429
688	54.40682716	238.2141417
689	54.38516205	238.1461048
690	54.36478576	238.0718832
691	54.34334147	237.9996769
692	54.3258801	237.9432335
693	54.30774018	237.8914258
694	54.28489465	237.8266157
695	54.26193268	237.7553465
696	54.24146003	237.6874463
697	54.22464909	237.6299944
698	54.20351396	237.5657793
699	54.1793274	237.4889441
700	54.15711624	237.4187511
701	54.1352303	237.3458265
702	54.11805399	237.2943561
703	54.0947387	237.220622
704	54.07858623	237.1538516
705	54.04964587	237.0562189
706	54.02294591	236.9726864
707	54.00148155	236.9009174
708	53.9818641	236.8348293
709	53.96632994	236.7855486
710	53.94290624	236.7102491
711	53.92414801	236.638496
712	53.9073973	236.587984
713	53.88377285	236.5123956
714	53.86428789	236.4461816
715	53.84035429	236.3692781
716	53.81925529	236.2981435
717	53.80144059	236.2377781
718	53.78323242	236.1720355
719	53.7666664	236.1139014
720	53.74638246	236.0415752
721	53.7248137	235.9600532
722	53.70640478	235.9002722
723	53.6802629	235.8196689
724	53.66484117	235.7673074
725	53.6476769	235.7139313
726	53.62879421	235.6546723
727	53.6078799	235.5854512
728	53.59140221	235.5164715
729	53.57867456	235.468591
730	53.56127742	235.4091917
731	53.54448254	235.3460303
732	53.52103877	235.2713273
733	53.49929737	235.2066168
734	53.48137427	235.1479468
735	53.45660152	235.0646807
736	53.43772685	234.9964579
737	53.41462034	234.9229739
738	53.39270228	234.8579048
739	53.37061558	234.7846225
740	53.35524203	234.7230358
741	53.32977066	234.6468992
742	53.31245784	234.5807721
743	53.29335432	234.5107693
744	53.27140815	234.431977
745	53.25518341	234.3716045
746	53.22599412	234.284465
747	53.20796663	234.2222641
748	53.19062972	234.1708534
749	53.17050236	234.093176
750	53.14855218	234.0318202
751	53.13197411	233.9803852
752	53.11408714	233.9131205
753	53.09283959	233.8409312
754	53.07162818	233.7678577
755	53.05354849	233.7054049
756	53.0321042	233.634436
757	53.01729676	233.5879915
758	53.0002409	233.5336595
759	52.97703402	233.4614321
760	52.95207657	233.380057
761	52.93375197	233.312813
762	52.91052902	233.2340479
763	52.88958661	233.1618334
